,use_case_context=entertainment,use_case_context=general_productivity,use_case_context=personal_productivity,use_case_context=personal_use_case,use_case_context=specific_use_case,use_case_context=test_or_placeholder,use_case_context=unknown
domain_industry_vertical=creative_design,0.07831757262732125,0.01685825814273883,0.09225000264151612,-0.04855062941000979,-0.032585269088662557,-0.006584852724541017,-0.0033295254616881567
domain_industry_vertical=education_academic,-0.0176735288485524,-0.2339000752180679,-0.07348548349209644,0.6385521971806392,-0.1760469394302548,-0.005045190179173394,0.002011696881700901
domain_industry_vertical=finance_accounting,-0.006370348962080333,-0.13239089080116398,-0.04020263144581353,0.02316137423603294,0.13264511624204997,-0.004043575107556212,-0.0023981628182295975
domain_industry_vertical=general_cross_functional,0.06135834986456484,-0.04027346941984461,-0.04683069796919733,-0.03341985397201931,0.07298930049357827,0.028695381775131684,0.009734138165189813
domain_industry_vertical=hr_people,-0.008130083766307299,-0.08548124527826897,-0.03047388831361272,0.015829796839488246,0.08752910801654795,-0.0029959823118114954,-0.0017768566659819086
domain_industry_vertical=it_engineering,-0.009851282820893509,-0.007611907634932725,-0.030667025750627453,-0.0352739967343245,0.04629950444368725,-0.00018926327854310864,-0.0025925355326229024
domain_industry_vertical=legal_compliance,-0.010059781652726646,-0.1061071792609696,-0.03278786244707488,-0.034279379225911656,0.14353109717031945,-0.0005872481869416009,-0.0019608081638367654
domain_industry_vertical=marketing_content,-0.014714735303961808,-0.23337079939670827,0.04910336304159956,-0.1270135982495514,0.2987614695011058,-0.006192113219895112,-0.005077801868786776
domain_industry_vertical=personal_productivity,-0.012499767908636831,-0.02951845631799899,0.38303786948608115,0.08587634686524902,-0.19181251142055128,-0.0030455267864066124,-0.0029190744782497556
domain_industry_vertical=project_management_ops,-0.046706263330783135,0.5118264099354016,-0.13920664074709,-0.27424262388286214,-0.2486886249785899,-0.006476093575977149,-0.009376626515868756
domain_industry_vertical=sales_crm,-0.012930754196629018,-0.14586579677370554,-0.04300482057699593,-0.06918741999190356,0.211573862019173,-0.0021033939449360533,-0.002520405439062846
domain_industry_vertical=unknown,0.022708876637739323,-0.012243263805009503,-0.0037148554238251273,0.0026128567694359613,-0.012353509857451834,0.24028827637482075,0.4054277949248175
