,domain_knowledge_depth=deep,domain_knowledge_depth=light,domain_knowledge_depth=moderate,domain_knowledge_depth=none,domain_knowledge_depth=unknown
add_agent_schedule,-0.000962436894161493,0.025375906156359693,-0.036283796654179204,0.022184569805311662,-0.0009585043457926202
add_task_to_list,-0.0033571622372329294,0.022031615641505006,-0.024696309476932025,0.009749978555076113,-0.0004735388366760704
check_calendar_availability,-0.006660859290197331,0.02801223876652277,-0.01975662137286207,-0.0056230133866445944,-0.0004489515168486811
complete_execution,-0.0037190826080135374,0.004172867520961623,-0.004684234096736917,0.004699171582962081,-0.0001745675137389078
create_custom_field,0.011803896282254844,0.004438809446293903,-0.004283999345859189,-0.010698020618956937,-0.0005967265001947295
create_document,0.02596865211108693,-0.028417791564381102,0.03170948429872475,-0.03211237656161456,-0.0021201933036812445
create_document_page,0.007983173796108238,-0.012557571548416423,0.02020330810032443,-0.021744669980740747,-0.0005003743575507927
create_google_calendar_event,-0.00731335634445121,0.03764026034075934,-0.026831955525180237,-0.008564802117586756,-0.0006618325727612614
create_list,0.01029681767330072,0.018617722581411093,-0.017766358777079293,-0.00921166843019974,-0.0008874205832515841
create_subtask,0.028980225091095276,0.02499623610409077,-0.02922471564386239,-0.01706357238197898,0.0004892140973552985
create_task,-0.004448450930705334,0.0259282879373746,-0.013334291922614728,-0.015296527887513697,-0.002332469517673113
delete_memory,0.001214575812394393,0.002766595727539699,-0.0043601546569299035,0.001908395520337232,-0.00014829838060815363
edit_image,-0.03286921714329093,-0.05461352630305564,0.0870189817414343,-0.030928721356209474,-0.0016729325821229614
find_similar_assets,-0.004161182108159,0.008848842966591572,-0.008863178671004692,0.004672606641001431,-0.00022299524368937004
find_stale_tasks,-0.013872720384539248,0.08639152714429085,-0.09902796952714167,0.04267216368382825,-0.00164461974445681
follow_up_cursor_agent,-0.0018865824594969086,0.009170183598993803,-0.006484503075262144,-0.002084674246713536,-8.498507810284993e-05
generate_image,-0.036676737884776725,-0.08094718148425264,0.1204893321734097,-0.04219166831575921,-0.0023392102583404354
generate_project_summary,-0.00397207589385362,0.0942567895497647,-0.07445740711748867,-0.022028998270252367,-0.001673756610016607
generate_project_update,-0.016246019636779352,0.08714120200034524,-0.07088833927721913,-0.005243078138956364,-0.0013390004422742694
generate_stand_up,-0.024470327263012515,0.05295269252504038,-0.07667916247456884,0.06859945087291928,-0.0011646613856722409
get_cursor_agent,-0.0017581116742085786,0.008545720733737012,-0.0060429272522230185,-0.0019427139861389717,-7.919784115134341e-05
gmail_create_draft,-0.006539556394019244,0.024176266651547165,-0.02326853772245855,0.00668256979600698,-0.000701092270368241
gmail_fetch_drafts,-0.005136421072200185,0.016191630191286752,-0.013721480755712395,0.0019336862367858591,-0.0003540584091661149
launch_cursor_agent,-0.0023665629958613678,0.011503243370777955,-0.008134277379297268,-0.0026150528994174295,-0.00010660681171191492
list_available_calendars,0.011923470122920377,-0.0011592122339646486,-0.005994322595343988,0.0013449201976045556,-7.856083465862246e-05
load_assets,0.06931489597757705,0.0708372224473599,-0.07688965948043686,-0.046669282999061264,-0.0029322823104226676
load_custom_fields,0.04210089186492514,0.08457929835951936,-0.0775579589530043,-0.0430619597580472,-0.0030824213213684532
load_web_pages,0.016654264830188437,-0.057760779662119316,0.06309579031299482,-0.02995416347073102,0.0019753862942469905
manage_personal_priorities,-0.01742497981839642,0.03411568728061216,-0.05897038488674895,0.062341060437051656,-0.0008837034455590182
move_task_to_list,-0.0035329886262798964,0.031374227654620876,-0.02630334944429002,-0.0026545208136307917,-0.0006831548968133332
post_chat_message,-0.032419782232031784,0.10238567774163286,-0.14943802949940105,0.1210567381915537,-0.004048050241766448
post_reply,-0.0025484009823833766,-0.17297340506252937,0.21658228270040009,-0.08911943657737835,-0.0011510942493458847
post_slack_message,-0.006973611117266519,0.036729824420972314,-0.03585478802618936,0.008281324727055818,-0.0005969826319271625
post_task_comment,0.02406607012844516,0.07088092642060884,-0.07897090802002228,-0.0015044740954513478,-0.0026318537249990373
read_memory,0.01410155433272698,0.06656844937704154,-0.07760559297513539,0.011988987796959949,0.006242350600594149
reflect,-0.002346277101230004,0.002558477191972621,-0.003513767367981251,0.004056536408520458,-0.00011759920174143207
rename_memory,-0.0011914562840210801,-0.001309368453276605,0.0016744835788629348,0.00034553810837687876,-6.052400560714126e-05
retrieve_activity,-0.033635045915801264,0.1612177590318854,-0.16646111544466863,0.054879845046642596,-0.002078032254615854
retrieve_chat_messages,-0.006954644370984143,0.008785287299286414,-0.012467623179906904,0.013676624555172698,-0.0018155980006031274
retrieve_personal_priorities,-0.04047989997951315,0.04237313796349565,-0.13246140593197567,0.19742163719874922,0.0022118292854837523
retrieve_tasks_by_filters,-0.015130055797953557,0.18812250974910769,-0.24437463680136576,0.12899852250925814,-0.005040448340050931
search_clickup_help_center,-0.006878032396888446,-0.0011377572886531763,0.010581578077737587,-0.010148818418181394,-0.00047481587402204697
search_clickup_support_resources,-0.0013436946646809339,0.0014164484333236132,0.004188761106369436,-0.008344593676213931,-0.00045850738154930623
search_google_calendar,-0.02370353777745472,0.09175916426440058,-0.08153847727020574,0.012518867832370762,-0.0014589842494456724
search_public_web,0.03371887482573712,-0.08610855141308857,0.08403837975368314,-0.03552727503592846,0.005004850289406128
search_users_and_teams,-0.012881985778949402,0.08936130524798072,-0.08453264768136105,0.01170737515594087,-0.001558170142080582
search_workspace,0.0312006897509221,0.08061669865761019,-0.07237776723222587,-0.03550160434414988,-0.0032205857715188516
todo_write,0.004211131688059519,0.2081634444868066,-0.25408713157542645,0.09511170968761114,-0.005261272621209603
update_chat_message,-0.00029974340091890457,0.008248664384320417,-0.005913778296703178,-0.0030176920014476426,-0.00013780350594688932
update_comment,0.002864409053746618,0.010450802132743738,-0.011804688314904783,0.0006920683890679929,-0.0004971692862712952
update_document,0.019150767610622163,0.012316180320601243,-0.009407727687665287,-0.021468401126774218,-0.00172622030013649
update_google_calendar_event,-0.005500246962481326,0.02165675264299338,-0.015956910814518964,-0.0028381064544984757,-0.00037516382179524104
update_task,0.01492819532219917,0.07535707144959815,-0.08064914020718633,0.0024435441917631867,-0.0023610575074537827
view_tools_catalog,0.005500403934893251,0.054612916518147404,-0.0582234124013047,0.006211088582013508,-0.0002970682488953642
write_memory,0.026672020423288725,0.023318638436616718,-0.022200914155958335,-0.0242432658296537,-0.002432663637417261
