,autonomy_level=autonomous,autonomy_level=consultative,autonomy_level=human_in_the_loop,autonomy_level=unknown
trigger=\N,-0.035031834582467135,0.03852925157968759,-0.003797591350060019,-0.0007439602528957549
trigger=assignment,-0.00194866455568193,-0.026864305628623998,0.036247974009878434,0.012668626326187676
trigger=automation,0.07988265531873309,-0.15147639251215003,0.09409433095703991,-0.007020715854662457
trigger=dm,-0.09208968883794612,0.12806330035287652,-0.045317032985948885,-0.002491548828809904
trigger=introduction,-0.08264432783967189,0.11358914164158358,-0.0388488791782764,-0.0025654167595440137
trigger=manual,0.020918920342177186,-0.018601238664451073,-0.0032406710465239467,-0.0016845801354832338
trigger=mention,-0.005121497618505528,0.00010701814149353779,0.006218274420253867,0.003461257629100649
trigger=scheduled,0.1708362510907709,-0.189435514968896,0.022340725907827517,-0.008271849313772665
trigger=task_comment_mention,-0.013323900773551937,-0.00727708388571245,0.02759017424050985,-0.0004981325340503571
trigger=unknown,0.005238755519681101,0.0015972180983104274,-0.014130546553182882,0.033317571116639765
