,execution_dataset=collection_scoped,execution_dataset=collection_unbounded,execution_dataset=single_asset_from_user,execution_dataset=single_event_data,execution_dataset=single_user_prompt,execution_dataset=unknown
trigger=\N,-0.050655172943838214,-0.02473436719324242,0.01874791627181578,0.00023457051938658373,0.05738655587472574,-0.006315457136101344
trigger=assignment,-0.006296048694976096,-0.01989208150090406,-0.02778395350202967,0.07150331104815881,-0.033499525773635144,0.013858074421136166
trigger=automation,-0.0004502178245092895,-0.06171437749032572,-0.08267081962102965,0.24571532051834197,-0.14194034420215396,-0.008771205859061054
trigger=dm,-0.10735204081434807,-0.06765278867783271,0.08928337211920023,-0.03747162831265606,0.13234500387647707,0.0023253744341150307
trigger=introduction,-0.18165173149938915,-0.10433962060009958,0.10861512681060868,0.04536689916548791,0.14101257843693046,-0.010240847531034391
trigger=manual,0.02900645620684708,0.011360369876431053,-0.009479076520073976,-0.016812986811418264,-0.014998134571758083,0.0021201718423854354
trigger=mention,0.010778601307357125,-0.0020874992113572833,-0.011303185001593155,0.003704947345572136,-0.0066283929712956866,0.006934244501076033
trigger=scheduled,0.375705252242924,0.2638806640344577,-0.162338545516215,-0.21718704905131878,-0.24314610416846114,0.003948054366232009
trigger=task_comment_mention,-0.027408845824705777,-0.028938640773870775,-0.027588750837429184,0.10534570764552084,-0.03642525186382123,-0.002777451461370406
trigger=unknown,-0.03896373593394274,-0.013211555098601432,0.01071365027888339,0.01285701617561467,0.02567453888007557,0.023570294625775715
