,functional_archetype=analyzer,functional_archetype=communicator,functional_archetype=creator,functional_archetype=enforcer,functional_archetype=monitor,functional_archetype=organizer,functional_archetype=unknown
trigger=\N,0.01290128100595178,-0.01322826579124039,0.039561272104805256,-0.0001345415417932819,-0.05542811396672869,-0.0037080257986349557,-0.0029062412923557515
trigger=assignment,0.007147281286194386,-0.005159421076677975,-0.02841972966504455,0.02378779832912677,-0.021264262899239467,0.03457468463894936,-0.000770933798144508
trigger=automation,-0.03220852408180941,0.004806407923800508,-0.1799608646312519,0.16098631838357766,-0.0023617029406428174,0.15143656376843123,-0.0035481899042554424
trigger=dm,0.02827212925406059,-0.029711905450992563,0.14077043986083415,-0.04667839421437485,-0.13721634687604276,-0.035850720333050486,-0.0034448446047458765
trigger=introduction,-0.04069932572935084,-0.04735431513504903,0.22031966425560315,-0.028593889490835876,-0.13878571391390188,-0.07267950992435727,0.001126735253159809
trigger=manual,0.0033046256692243993,0.01008033785696942,-0.015542646524108715,0.002125752205112763,0.02139791100511856,-0.006980008418217568,-0.0009868064039033426
trigger=mention,0.0202824581948687,0.01021208881777563,-0.029931239582935212,0.0067676061573408546,0.00541761973393081,0.007017194064388071,-0.0021700981174855873
trigger=scheduled,0.004102983596802303,0.08621627855900443,-0.300215275628428,-0.03506732125156299,0.3742477160519868,0.015295004380513759,0.00040575967996535307
trigger=task_comment_mention,0.027835269232233437,0.009149980393822648,-0.011199085846798474,0.01715286013947158,-0.0388795506441069,0.011110384930761164,-0.0024328527921799008
trigger=unknown,-0.0016362034463139866,1.4872612267708924e-05,0.026862213041075316,0.006292470571461749,-0.024366371753543406,-0.013538837250468864,0.018730879693758844
