,tone_and_persona=casual_friendly,tone_and_persona=empathetic_supportive,tone_and_persona=professional_formal,tone_and_persona=technical_precise,tone_and_persona=unknown
trigger=\N,-0.045381179041479376,0.02527731846340415,0.019898449402705336,0.013633840878872447,0.00027367265221131315
trigger=assignment,-0.02334408853615672,-0.01241329631345912,0.01648285026431849,0.02283379765057539,0.006491772901437937
trigger=automation,-0.074305833733518,-0.058732781185547284,0.08612475175238074,0.032890920559688994,0.01299192600792109
trigger=dm,0.052022634132874966,0.0021276938270762807,-0.052260217116363146,0.005233407515107789,-0.0012449043113851267
trigger=introduction,0.07969565963332093,0.03035381902162929,-0.07613595975836329,-0.021288068891652884,-0.026826702523710014
trigger=manual,-0.011022150879389143,-0.00394300680170795,0.01250436718247799,-0.0012366472249354511,0.00355984102761138
trigger=mention,-0.011550711167811176,-0.011550329175949501,0.014082948583048614,0.008389562254695162,-0.00149904108673736
trigger=scheduled,-0.03335719789899341,-0.0007051396281480786,0.05106433440696694,-0.03682761195699016,-0.004133070243130504
trigger=task_comment_mention,-0.03123960232017155,-0.023200788515518753,0.02895861988881564,0.02344589123989278,0.011753059177997589
trigger=unknown,-0.004176119474552509,-0.008754377631601572,-0.005836615792063973,0.010728324867858073,0.040789829542264566
