,add_agent_schedule,add_task_to_list,check_calendar_availability,complete_execution,create_custom_field,create_document,create_document_page,create_google_calendar_event,create_list,create_subtask,create_task,delete_memory,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary,generate_project_update,generate_stand_up,get_cursor_agent,gmail_create_draft,gmail_fetch_drafts,launch_cursor_agent,list_available_calendars,load_assets,load_custom_fields,load_web_pages,manage_personal_priorities,move_task_to_list,post_chat_message,post_reply,post_slack_message,post_task_comment,read_memory,reflect,rename_memory,retrieve_activity,retrieve_chat_messages,retrieve_personal_priorities,retrieve_tasks_by_filters,search_clickup_help_center,search_clickup_support_resources,search_google_calendar,search_public_web,search_users_and_teams,search_workspace,todo_write,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog,write_memory
trigger=\N,-0.008533379830678686,0.00017277004931340133,-0.008180773170622926,0.03174445626472248,-0.003958154336077425,-0.002317494103339981,-0.010824586582026483,-0.006670931632005788,0.012671655138569141,-0.003489821396157906,-0.013753522172647534,-0.004618429363974444,-0.018092830554747464,-0.0030038424971336503,-0.02599038460766748,-0.0026466747553161763,-0.012330971089956152,-0.02301153048943925,-0.025701721510008532,-0.021222404831392993,-0.002466443892622278,-0.008724552691291708,-0.003974770172736722,-0.0033200364534726376,-0.002446605715840033,-0.06390411810070375,-0.04244225534617935,-0.012274369602918387,-0.009648711609825016,0.0003111411243710656,-0.024916375086937205,0.15368353428818463,-0.009532785118583718,-0.02728897043884093,-0.08127921742546017,0.019774445008619558,-0.0018848880451363566,-0.06017355219775866,0.00047559404110472734,-0.030696140897626092,-0.09803334202926581,-0.00692240973691808,0.0012777613662535157,-0.02434311730005763,-0.018762737877452487,-0.020365265487410494,-0.0479915303583461,-0.1435972622669742,-0.0036422021127450635,0.003005371797078803,-0.016434283476989643,-0.008623660364526253,-0.024128639108864366,-0.06617242836807254,-0.005577221950626792
trigger=assignment,0.0020428898646170897,-0.0011882705698131918,0.0020620524523221576,-0.0014109258848550652,0.008002010841811149,0.022775541069468126,0.008992980132777455,-0.00032844363846901533,-0.0028524010992423575,0.0874049668599873,0.004877037699627835,0.0062067870443435385,-0.010200879722359543,0.0013822518566228034,-0.010035207056809355,0.036802989935381725,-0.0022376234616284106,-0.007929374574957418,-0.0071811377718837,-0.008501258682265058,0.028990144135585774,-0.00106467168210263,0.0023399135494603955,0.04967609598549805,-0.0006349607254042226,0.14027591682092083,0.07718901096896426,0.022280527724649613,-0.004286527495107314,0.0038754189267345414,-0.043749385184585,-0.09631976438243815,-0.0043972652995066235,0.14699366210248155,0.01704137126458108,-0.0009504847392364216,-0.0004891797124060123,-0.0166615240624226,-0.013744624593898499,-0.011205876049145202,-0.010838130377919239,0.0003948503885796158,-0.0013055104120292236,-0.006474086857327731,0.02121384952772195,0.001360655058352759,0.017870792898996048,0.1120924606960987,0.018932874320273324,0.0075118256109669174,0.0031145835270438653,-0.0027393867323359847,0.08025901113976881,0.002656328171849862,0.0046036267201081445
trigger=automation,0.024790630030419192,0.0245790785709788,0.0032483529419705588,-0.0011820204286220124,0.006535643522952042,-0.010329285202208754,-0.014262462661110628,-0.00256248543426448,-0.003282428724458139,0.12648221973293391,-0.0028187597081187478,0.001221302856176154,-0.03450730928945694,0.017017441958205363,-0.021351823053024948,-0.0017969439421886995,-0.04321406322084807,-0.016507996760772043,-0.016218328237512063,-0.018967868506986462,-0.0016745772795443382,0.0028294074740915394,-0.0059850448755556,-0.002254118826247909,-0.0005606212827728042,0.2936526318418811,0.2988312385972587,-0.009361865062411802,-0.01135540872646359,0.049731575676291565,-0.0703283717206116,-0.326418251035404,0.0037575876472419486,0.23757090621170746,0.0060003533022353365,0.0013976990458941976,-0.0007764206480221164,-0.016815620701462645,-0.02406037679173336,-0.0320807111607894,-0.0055529220048556776,-0.003476886628845041,-0.004387074374668168,-0.017623256288972926,-0.02408280393507824,0.02491798347187385,-0.015611654985635897,0.2151864328273901,0.010851201356646079,0.0341655716432102,0.0013989489650358038,0.0005853454555681996,0.2091420230744295,-0.03112506324693992,-0.01082323558883167
trigger=dm,0.003219625768329202,-0.004707244104506797,0.008351845303827854,-0.008999402022952012,0.027175645131242814,0.08864581909252311,0.05170166920598153,0.011566762615995598,0.03589310445332928,-0.004237354624610626,0.06297639415890134,0.004333302462037141,0.15373696785817717,-0.008079236416879637,-0.06491646449435862,-0.004381198239114539,0.16839100565323892,-0.05601666085903665,-0.04896896949969216,-0.04083439539286927,-0.0040828513656717925,-0.005144450593955979,-0.010691747047294227,-0.005495853933141354,0.00476513061434633,0.0016988168659749186,-0.0681795645569562,0.02232209134844154,-0.03247145836807016,0.0067744140744027065,-0.0646192655380748,0.2964271934392233,-0.015190061265663902,-0.11576766132733354,-0.1367427273491901,-0.0060625397668905585,0.006487737323267261,-0.09642021848858043,0.060178410151223376,-0.07599177671728125,-0.15824983966888162,-0.002883757497595154,0.012588518945572051,-0.03191635373548733,0.0015115891469791116,-0.020523717647839036,-0.023604798745808023,-0.16576782399693438,-0.0016537717692395148,-0.007073867161730244,0.02097459429478125,0.013254292246922091,-0.017464009198548076,0.13144094141131324,0.09176168642470194
trigger=introduction,-0.03612626867665762,-0.018801832043449183,-0.016684324977911138,-0.006984713009199226,-0.01942895734058667,-0.07499923983797728,-0.06846862377670845,-0.0219794410538414,-0.030634702352637076,-0.06466733853692952,-0.08937476847269098,-0.005933644846578559,-0.05798693668931083,-0.008129218768992398,-0.06379739398567026,-0.0034003828541695705,-0.07377219959598522,-0.06465683789091572,-0.05171579765133808,-0.044102771270127315,-0.0031688266593385608,-0.02749121702054361,-0.014166418043953294,-0.004265501459493536,-0.003143339056053282,-0.24320941925301842,-0.1223635296734968,-0.06541379762036381,-0.03418808599362752,-0.026740631064155505,-0.2597202836878988,0.4514792369912942,-0.022207893308695804,-0.12116393439642818,-0.2016800620485133,-0.004705323783801671,-0.002421657960743692,-0.13055065111917868,-0.07260265924676446,-0.07497049444840899,-0.24772059499573254,-0.017617942161241906,-0.016255028653927767,-0.056458781443631624,-0.07122978671616367,-0.05816188129718743,-0.17412877442988448,-0.43246908620694396,-0.005513728872486985,-0.019123610096721037,-0.06546367160221742,-0.014656530720596755,-0.10598343394486161,-0.13226159538961962,-0.11773878201366068
trigger=manual,-0.0022541148214771673,-0.0011136213570465355,-0.0010557993531228184,-0.0004105304496474683,-0.0014033218048112315,0.017053495328960395,0.001378332247199536,-0.0015564317659549549,-0.0015885091613851566,-0.00033862182058823543,0.003607743947649886,-0.0003487533251124314,-0.003934235817759429,-0.0005244179498252097,0.004952511350051477,-0.00019985942160503258,-0.0036208690716832627,0.00551553297755368,0.015495812083093455,0.005950925743193481,-0.00018624957555159844,0.04586664863138158,0.05875980561120054,-0.0002507072559504604,-0.0001847515272819978,0.010849187718147532,0.01563240170723017,0.007062717751352158,-0.002078205532576693,-0.000485065524167598,0.010211724626840684,-0.020200025023674018,0.017964232344782803,0.014524215391858785,0.007856698284341197,-0.0002765580613200409,-0.00014233431355119253,0.022879203412395896,0.003778089183700282,-4.295457224678018e-05,0.03943263619966956,-0.0011166245659748881,-0.0006392920418689659,0.007305507269832599,0.00795691093997192,0.023528378569704585,0.02119765134702255,0.037411098029309836,-0.000324072526712996,-0.0011691930890940455,-0.00043420688914395483,-0.0008822728190046405,-0.002620719997195726,0.011625375320309944,-0.003122648020747328
trigger=mention,0.005369552118982479,-0.0009624670882545271,0.009498915185607984,-0.0009028025683928655,0.003522980641402229,0.006536126581038835,0.0030605517216765158,0.0020121663876314167,0.007404307839051293,0.001667693625558542,0.016553502253744336,-0.0007669477329085701,-0.0059839976038046855,-0.0011532539728054212,-0.003537104811182772,-0.0004395133157539972,-0.007073143320408297,0.0048469940962883986,0.002737260147513783,-0.002587093214730486,-0.0004095837356631186,-0.0002333791711741535,-0.00010444687503517482,-0.0005513334145644167,-0.00040628935926172074,0.02566192001841088,0.005859121867101077,0.015527561898037452,-0.0035393077682309405,-0.00039434113305394626,0.035208722668459085,-0.008399760955881573,-0.00308738689030003,-0.005844618785603669,-0.00439173684949462,-0.0006081822390614224,-0.0003130091420862987,-0.004170663714172481,0.012065492951999192,-0.009179566858467663,0.001981930281837401,0.0010394942523851624,0.001543103405513292,-0.0033279593328672565,0.0057035566655301295,0.0045919983111170825,0.009222695496716875,0.008115735883786068,0.005341806379248201,-0.0018412075282998454,0.01208725497230357,0.008066365767728283,0.010208267633522903,0.012514033313149367,0.020356277104074023
trigger=scheduled,0.029862316258866987,0.010337839446345616,0.013188062977936815,-0.006826068751742595,-0.012204339256781792,-0.021461416262346183,0.0307381333861247,0.021961062521574395,-0.01240980591395498,-0.03650338769351047,0.04273222099717653,0.003124685989382627,-0.06438494416284403,0.010787722152657692,0.1941129468153064,-0.0033231497291637277,-0.062325360085198754,0.17630556974966458,0.15408687859880574,0.13528375256585792,-0.0030968528857964603,0.040312469268851216,0.0312985675615568,-0.0041686188372826085,0.001237684082804795,0.05937702778992291,0.02990760446482258,0.05212657823637931,0.09787206745643959,-0.008779844245787866,0.47406347555598244,-0.5373925406400788,0.05116297135003152,0.07009159323267901,0.4643771682267331,-0.004598451447487805,-0.002057747527146059,0.3395563405489578,0.04091099365207099,0.23370159627765583,0.5748408311161384,0.033297926409985204,0.0071271747717453725,0.1409631452885294,0.10445345881190889,0.08949479398655727,0.2774627802528617,0.646802368614241,-0.001334702955460735,-0.004613127808412045,0.0557960667320453,0.00911273040768784,-0.007621293109635212,0.07459090716683707,0.03705164961863063
trigger=task_comment_mention,2.781524942130773e-05,0.0065985641100974515,0.0004855808385942852,-0.0018500138222927963,0.004612831331178555,0.03845007253996795,0.02549419280763778,-0.003669361043701369,-0.002594854068304074,0.05817617943867524,0.006832613320586444,0.0020681197605843834,-0.0013844945603063447,-0.0001850530218725596,-0.015691403984710715,0.019235663539569074,-0.0004378294292177186,-0.012448398951472966,-0.011588018773782665,-0.010389934412885047,0.02200433320004067,0.0023300149856551626,-0.00028762357394806966,0.021432053620162383,-0.0008325640143256328,0.17523873000637913,0.060379881431339856,0.0255335401816666,-0.008040575399361545,0.0005438369628985009,-0.05635596661466003,-0.032274021861809846,-0.0032266064439778774,0.13006656861321553,-0.018650151000392585,-0.0012462808460320903,-0.0006414151439494598,-0.023761829711894156,-0.018556757111484752,-0.018962552917219624,-0.032882211367753565,-0.0028463327162615926,-0.0005147881251681419,-0.010528395640180795,0.010470619625000873,0.007358529927310811,0.0060286276304904905,0.046213311945821005,0.0009486225752659036,0.029283505853064704,0.02610124948522119,-0.0012561950944712838,0.06265610356110347,0.021101726049669537,0.015882597245314732
trigger=unknown,-0.01418832577144144,-0.00700959083772682,-0.006645635363671076,-0.002584047495361121,-0.008833084605592996,-0.03637833282694024,-0.029929134923202722,-0.009796821672960362,-0.013136103541652582,-0.02636824650111062,-0.037667998450974835,-0.00219519686549326,-0.024763698331686707,-0.0033009022617736003,-0.024344595626430557,-0.001257997398892845,-0.034626318950892444,-0.024775896060628202,-0.019820645119122002,-0.01723997937606731,-0.0011723314302982445,-0.010377966017043237,-0.005240973683027956,-0.001578054581247169,-0.0011629020983636021,-0.09791297258793384,-0.04814853962154998,-0.02679977153631197,-0.013081080358136741,-0.0101124468249828,-0.10347437491465489,-0.3221504574261696,-0.00883687601298317,-0.04893454226764335,-0.07652300823025729,-0.001740770182308459,-0.0008959107095509374,-0.050471751482568966,-0.03071150009970881,-0.028796359004241965,-0.09606807594757011,-0.007028494269898584,-0.006787086700845836,-0.02159671358549656,-0.02862294062148586,-0.023064919507371193,-0.07086672467751505,-0.1727022403169034,-0.0020398457695091233,-0.0073593821750894215,-0.02555249340195577,-0.005553387988958982,-0.04206429254314386,-0.055180568985023576,-0.04556782443167345
