classification_feature,external_feature,correlation
data_flow_direction=processing,todo_write,0.2876786401910982
data_flow_direction=processing,retrieve_tasks_by_filters,0.27700094712661816
data_flow_direction=outbound,post_reply,0.2730267683423951
data_flow_direction=bidirectional,search_google_calendar,0.2259578639507886
data_flow_direction=bidirectional,view_tools_catalog,0.20531422928761922
data_flow_direction=processing,load_assets,0.18913573762577712
data_flow_direction=processing,trigger=automation,0.18438209788075852
data_flow_direction=outbound,generate_image,0.1769295093325632
data_flow_direction=processing,load_custom_fields,0.1658887175422262
data_flow_direction=outbound,trigger=introduction,0.164010661201945
data_flow_direction=outbound,todo_write,-0.35261463537191745
data_flow_direction=outbound,retrieve_tasks_by_filters,-0.30383472070581447
data_flow_direction=processing,post_reply,-0.2375217582312041
data_flow_direction=outbound,trigger=scheduled,-0.22368773926072313
data_flow_direction=outbound,load_assets,-0.1987110442985817
data_flow_direction=outbound,trigger=automation,-0.17598425673084914
data_flow_direction=outbound,load_custom_fields,-0.1736749256817189
data_flow_direction=outbound,search_workspace,-0.15453210010014531
data_flow_direction=processing,generate_image,-0.1536916416609464
data_flow_direction=outbound,retrieve_activity,-0.14693341083899011
