feature,importance
read_memory,0.23805783459289548
todo_write,0.19507914640052287
post_reply,0.1088703877711467
retrieve_tasks_by_filters,0.10528176412538272
post_chat_message,0.07125092185702257
retrieve_activity,0.05567053382022795
load_assets,0.05411143885425001
search_workspace,0.03490201764610498
post_task_comment,0.02316670137369032
write_memory,0.018695376855785123
update_task,0.013841330497451272
view_tools_catalog,0.010580875404354047
load_custom_fields,0.008083175542939518
create_task,0.0070136572947485445
generate_project_summary,0.006502099630115555
search_users_and_teams,0.005345080189161438
search_public_web,0.004397652669973484
generate_project_update,0.004032692312556776
generate_image,0.0034723703696301544
create_subtask,0.0034440332625537886
retrieve_personal_priorities,0.0033306347964032063
create_document,0.0032791571122217093
retrieve_chat_messages,0.003209449263735249
add_agent_schedule,0.0031593102143715967
find_stale_tasks,0.0019977805786078294
update_document,0.0018292861365266403
create_document_page,0.0017199666229268714
edit_image,0.0015690233015120286
load_web_pages,0.0011723912195579869
search_google_calendar,0.001121728229505038
create_list,0.0008541915121496572
generate_stand_up,0.0005994898418060948
update_comment,0.0005807646430053767
gmail_create_draft,0.00045453439934998866
move_task_to_list,0.0004509659767278782
manage_personal_priorities,0.00037755755865227856
create_custom_field,0.0003718404869594309
create_google_calendar_event,0.0003259374075263362
search_clickup_support_resources,0.0003078736177839265
post_slack_message,0.0002951529208424368
search_clickup_help_center,0.00027301278489382983
check_calendar_availability,0.00021878162623943542
add_task_to_list,0.0002103015320246612
update_google_calendar_event,0.0001740723431606376
gmail_fetch_drafts,0.00010601392556901378
complete_execution,6.079577006631413e-05
reflect,5.0550018443706044e-05
find_similar_assets,4.0730677713718205e-05
update_chat_message,2.48561142675477e-05
list_available_calendars,1.8488046137029056e-05
launch_cursor_agent,1.0875937926072046e-05
delete_memory,2.465602448764633e-06
get_cursor_agent,2.457762217549235e-06
rename_memory,4.71548206836637e-07
follow_up_cursor_agent,0.0
