tool_name,total_calls
todo_write,8536471
load_assets,1233334
retrieve_tasks_by_filters,1198671
post_reply,926642
update_task,910812
post_task_comment,729663
post_chat_message,727989
load_custom_fields,547427
search_workspace,495664
retrieve_activity,397596
read_memory,339381
create_task,294068
create_subtask,234867
search_public_web,197106
write_memory,124757
view_tools_catalog,93998
retrieve_personal_priorities,84532
generate_image,74317
retrieve_chat_messages,71123
search_google_calendar,69649
manage_personal_priorities,68108
update_document,67645
find_stale_tasks,57222
create_document_page,54587
search_users_and_teams,54479
generate_project_update,50216
load_web_pages,48664
add_agent_schedule,45073
generate_project_summary,43871
create_document,35785
edit_image,32976
create_google_calendar_event,27257
gmail_create_draft,24207
add_task_to_list,23306
move_task_to_list,21447
generate_stand_up,20156
post_slack_message,15874
create_list,13683
update_comment,10869
create_custom_field,7680
gmail_fetch_drafts,4697
check_calendar_availability,4375
update_google_calendar_event,4227
find_similar_assets,4140
search_clickup_help_center,3172
search_clickup_support_resources,2939
update_chat_message,1984
reflect,397
list_available_calendars,227
complete_execution,225
launch_cursor_agent,115
delete_memory,52
get_cursor_agent,30
follow_up_cursor_agent,25
rename_memory,18
