feature,value_bin,mean_shap,n_agents
\N,q1,0.004584491005010227,419
\N,q4,-0.031342271136334116,81
assignment,q1,-0.0016310248092811105,477
assignment,q4,0.033782877405106666,23
automation,q1,-0.006602930508430728,449
automation,q4,0.053597518327563765,51
dm,q1,0.0016769272142136827,242
dm,q2,0.06466508149079289,8
dm,q3,0.01841232439552973,141
dm,q4,-0.03176546995978238,109
introduction,q1,0.16488534908908314,126
introduction,q2,0.13658160052488827,127
introduction,q3,-0.08237193292308664,151
introduction,q4,-0.1587971648061193,96
manual,q1,0.0011047348350607022,477
manual,q4,-0.028783689438182634,23
mention,q1,-0.0005368145835008925,484
mention,q4,0.02443892211098414,16
scheduled,q1,-0.08157003408402203,351
scheduled,q3,0.048932170384420416,24
scheduled,q4,0.2825328957573483,125
task_comment_mention,q1,-0.004070432038638157,460
task_comment_mention,q4,0.059367520220221306,40
